      table_name      |       column_name        |          data_type          | is_nullable |           column_default            
----------------------+--------------------------+-----------------------------+-------------+-------------------------------------
 audit_logs           | id                       | uuid                        | NO          | 
 audit_logs           | created_at               | timestamp with time zone    | NO          | 
 audit_logs           | updated_at               | timestamp with time zone    | NO          | 
 audit_logs           | audit_id                 | uuid                        | NO          | 
 audit_logs           | user_id                  | character varying           | YES         | 
 audit_logs           | organization_id          | uuid                        | YES         | 
 audit_logs           | action                   | character varying           | YES         | 
 audit_logs           | resource_type            | character varying           | YES         | 
 audit_logs           | resource_id              | character varying           | YES         | 
 audit_logs           | ip_address               | inet                        | YES         | 
 audit_logs           | user_agent               | text                        | YES         | 
 audit_logs           | correlation_id           | uuid                        | YES         | 
 audit_logs           | details                  | jsonb                       | YES         | 
 audit_logs           | changes                  | jsonb                       | YES         | 
 audit_logs           | content_hash             | character varying           | YES         | 
 audit_logs           | previous_hash            | character varying           | YES         | 
 audit_logs           | old_values               | jsonb                       | YES         | '{}'::jsonb
 audit_logs           | new_values               | jsonb                       | YES         | '{}'::jsonb
 audit_logs           | session_id               | uuid                        | YES         | gen_random_uuid()
 audit_logs           | severity                 | character varying           | YES         | ''::character varying
 audit_logs           | outcome                  | character varying           | YES         | ''::character varying
 audit_logs           | error_message            | text                        | YES         | ''::text
 audit_logs           | metadata                 | jsonb                       | YES         | '{}'::jsonb
 audit_logs           | archived                 | boolean                     | YES         | false
 audit_logs           | archived_at              | timestamp with time zone    | YES         | now()
 audit_logs           | archived_path            | text                        | YES         | ''::text
 claim_deadlines      | id                       | uuid                        | NO          | 
 claim_deadlines      | created_at               | timestamp with time zone    | NO          | 
 claim_deadlines      | updated_at               | timestamp with time zone    | NO          | 
 claim_deadlines      | claim_id                 | uuid                        | NO          | 
 claim_deadlines      | organization_id          | uuid                        | YES         | 
 claim_deadlines      | deadline_rule_id         | uuid                        | YES         | 
 claim_deadlines      | deadline_name            | character varying           | YES         | 
 claim_deadlines      | deadline_type            | character varying           | YES         | 
 claim_deadlines      | event_date               | timestamp with time zone    | YES         | 
 claim_deadlines      | original_deadline        | timestamp with time zone    | YES         | 
 claim_deadlines      | due_date                 | timestamp with time zone    | YES         | 
 claim_deadlines      | current_deadline         | timestamp with time zone    | YES         | 
 claim_deadlines      | completed_at             | timestamp with time zone    | YES         | 
 claim_deadlines      | status                   | character varying           | YES         | 'pending'::character varying
 claim_deadlines      | priority                 | character varying           | YES         | 'medium'::character varying
 claim_deadlines      | extension_count          | integer                     | YES         | 0
 claim_deadlines      | total_extension_days     | integer                     | YES         | 0
 claim_deadlines      | last_extension_date      | timestamp with time zone    | YES         | 
 claim_deadlines      | last_extension_reason    | text                        | YES         | 
 claim_deadlines      | completed_by             | character varying           | YES         | 
 claim_deadlines      | completion_notes         | text                        | YES         | 
 claim_deadlines      | is_overdue               | boolean                     | YES         | false
 claim_deadlines      | days_until_due           | integer                     | YES         | 
 claim_deadlines      | days_overdue             | integer                     | YES         | 0
 claim_deadlines      | escalated_at             | timestamp with time zone    | YES         | 
 claim_deadlines      | escalated_to             | character varying           | YES         | 
 claim_deadlines      | alert_count              | integer                     | YES         | 0
 claim_deadlines      | last_alert_sent          | timestamp with time zone    | YES         | 
 claims               | claim_id                 | uuid                        | NO          | gen_random_uuid()
 claims               | claim_number             | character varying           | NO          | 
 claims               | organization_id          | uuid                        | NO          | 
 claims               | member_id                | character varying           | NO          | 
 claims               | is_anonymous             | boolean                     | YES         | true
 claims               | claim_type               | USER-DEFINED                | NO          | 
 claims               | status                   | USER-DEFINED                | NO          | 'submitted'::claim_status
 claims               | priority                 | USER-DEFINED                | NO          | 'medium'::claim_priority
 claims               | incident_date            | timestamp with time zone    | NO          | 
 claims               | location                 | text                        | NO          | 
 claims               | description              | text                        | NO          | 
 claims               | desired_outcome          | text                        | NO          | 
 claims               | witnesses_present        | boolean                     | YES         | false
 claims               | witness_details          | text                        | YES         | 
 claims               | previously_reported      | boolean                     | YES         | false
 claims               | previous_report_details  | text                        | YES         | 
 claims               | assigned_to              | character varying           | YES         | 
 claims               | assigned_at              | timestamp with time zone    | YES         | 
 claims               | ai_score                 | integer                     | YES         | 
 claims               | ai_analysis              | jsonb                       | YES         | 
 claims               | merit_confidence         | integer                     | YES         | 
 claims               | precedent_match          | integer                     | YES         | 
 claims               | complexity_score         | integer                     | YES         | 
 claims               | progress                 | integer                     | YES         | 0
 claims               | claim_amount             | character varying           | YES         | 
 claims               | settlement_amount        | character varying           | YES         | 
 claims               | legal_costs              | character varying           | YES         | 
 claims               | court_costs              | character varying           | YES         | 
 claims               | resolution_outcome       | character varying           | YES         | 
 claims               | filed_date               | timestamp with time zone    | YES         | 
 claims               | resolved_at              | timestamp with time zone    | YES         | 
 claims               | attachments              | jsonb                       | YES         | '[]'::jsonb
 claims               | voice_transcriptions     | jsonb                       | YES         | '[]'::jsonb
 claims               | metadata                 | jsonb                       | YES         | '{}'::jsonb
 claims               | created_at               | timestamp with time zone    | YES         | now()
 claims               | updated_at               | timestamp with time zone    | YES         | now()
 claims               | closed_at                | timestamp with time zone    | YES         | 
 deadline_rules       | id                       | uuid                        | NO          | 
 deadline_rules       | created_at               | timestamp with time zone    | NO          | 
 deadline_rules       | updated_at               | timestamp with time zone    | NO          | 
 deadline_rules       | organization_id          | uuid                        | YES         | 
 deadline_rules       | rule_name                | text                        | YES         | 
 deadline_rules       | rule_code                | text                        | YES         | 
 deadline_rules       | description              | text                        | YES         | 
 deadline_rules       | claim_type               | text                        | YES         | 
 deadline_rules       | priority_level           | text                        | YES         | 
 deadline_rules       | step_number              | integer                     | YES         | 
 deadline_rules       | days_from_event          | integer                     | YES         | 
 deadline_rules       | event_type               | text                        | YES         | 
 deadline_rules       | business_days_only       | boolean                     | YES         | false
 deadline_rules       | allows_extension         | boolean                     | YES         | true
 deadline_rules       | max_extension_days       | integer                     | YES         | 30
 deadline_rules       | requires_approval        | boolean                     | YES         | false
 deadline_rules       | escalate_to_role         | text                        | YES         | 
 deadline_rules       | escalation_delay_days    | integer                     | YES         | 0
 deadline_rules       | is_active                | boolean                     | YES         | true
 deadline_rules       | is_system_rule           | boolean                     | YES         | false
 deadline_rules       | created_by               | text                        | YES         | 
 documents            | id                       | uuid                        | NO          | gen_random_uuid()
 documents            | org_id                   | uuid                        | NO          | 
 documents            | category                 | USER-DEFINED                | NO          | 
 documents            | title                    | text                        | NO          | 
 documents            | blob_container           | text                        | NO          | 
 documents            | blob_path                | text                        | NO          | 
 documents            | content_type             | text                        | NO          | 
 documents            | size_bytes               | bigint                      | YES         | 
 documents            | sha256                   | text                        | NO          | 
 documents            | uploaded_by              | text                        | NO          | 
 documents            | uploaded_at              | timestamp with time zone    | NO          | now()
 documents            | classification           | USER-DEFINED                | NO          | 'internal'::document_classification
 documents            | linked_type              | text                        | YES         | 
 documents            | linked_id                | uuid                        | YES         | 
 documents            | created_at               | timestamp with time zone    | NO          | now()
 documents            | updated_at               | timestamp with time zone    | NO          | now()
 documents            | organization_id          | uuid                        | YES         | gen_random_uuid()
 documents            | folder_id                | uuid                        | YES         | gen_random_uuid()
 documents            | name                     | text                        | YES         | ''::text
 documents            | file_url                 | text                        | YES         | ''::text
 documents            | file_size                | integer                     | YES         | 0
 documents            | file_type                | text                        | YES         | ''::text
 documents            | mime_type                | text                        | YES         | ''::text
 documents            | description              | text                        | YES         | ''::text
 documents            | tags                     | text                        | YES         | ''::text
 documents            | content_text             | text                        | YES         | ''::text
 documents            | is_confidential          | boolean                     | YES         | false
 documents            | access_level             | text                        | YES         | ''::text
 documents            | deleted_at               | timestamp with time zone    | YES         | now()
 documents            | metadata                 | jsonb                       | YES         | '{}'::jsonb
 in_app_notifications | id                       | uuid                        | NO          | 
